                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1928,                 3.8228,                  1.921,                0.01037,                0.64103,                0.01956,                0.00704,                 2.0577,                 3.7608,                 1.8515,             0.00031438,             0.00031438,             0.00031438
                      2,                 2.1601,                 2.8862,                 1.7527,                0.83608,                0.07143,                0.30173,                0.09884,                   2.29,                 3.0118,                 1.8475,             0.00063032,             0.00063032,             0.00063032
                      3,                 2.1363,                   2.53,                 1.7386,                0.70237,                0.37398,                 0.4045,                0.13383,                 2.3591,                 2.7308,                 2.1058,             0.00093324,             0.00093324,             0.00093324
                      4,                 2.0958,                 2.3389,                 1.6898,                0.21321,                0.65788,                 0.3142,                0.11079,                 2.2726,                 2.7767,                 2.1234,              0.0012231,              0.0012231,              0.0012231
                      5,                 2.0607,                 2.3087,                 1.6854,                0.40935,                 0.5764,                0.39695,                0.13704,                 2.2634,                 4.2951,                  2.017,              0.0013158,              0.0013158,              0.0013158
                      6,                 2.0502,                 2.1939,                 1.6991,                 0.3356,                0.56593,                0.39768,                0.15786,                 2.0768,                 2.1021,                  1.873,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.9791,                 2.0809,                 1.6559,                0.24439,                0.48061,                0.30723,                0.10044,                 2.3273,                 2.2932,                  1.928,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.9609,                 2.2079,                 1.6336,                 0.4113,                0.44689,                0.39468,                 0.1254,                 2.2855,                 2.0393,                 1.9627,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.9209,                  2.011,                 1.5996,                0.33328,                0.64103,                  0.529,                0.20995,                 1.9309,                 1.8089,                 1.7129,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.9193,                 2.0366,                 1.6114,                0.49305,                0.55018,                0.61856,                0.27963,                 2.0167,                 1.6746,                  1.751,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.8524,                 1.9086,                 1.6033,                0.75462,                0.54029,                0.60687,                0.25673,                   1.98,                 1.5414,                 1.7453,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.8967,                 1.9685,                 1.5647,                0.56496,                0.49084,                0.58945,                0.26542,                 1.9678,                 1.7039,                 1.7185,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.8323,                 1.8473,                 1.5397,                0.69045,                0.59341,                0.57874,                0.26821,                  1.994,                 1.7065,                 1.8218,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.8802,                 1.9018,                  1.599,                0.53607,                0.49073,                 0.5281,                0.23163,                 2.0258,                 1.6425,                 1.8004,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.8175,                 1.8506,                 1.5766,                0.62888,                0.62131,                0.63784,                0.26205,                 2.0467,                 1.5572,                  1.807,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.8824,                 1.8405,                 1.6186,                0.50071,                0.49848,                 0.5263,                0.25209,                 1.9734,                 1.5402,                 1.7184,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.8126,                 1.7734,                 1.5575,                0.46731,                0.61905,                0.52562,                0.23864,                 2.0074,                 1.5837,                 1.8074,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.8137,                 1.7669,                 1.5737,                0.61195,                0.59341,                0.58985,                0.26882,                 1.9539,                 1.6023,                 1.7434,               0.000948,               0.000948,               0.000948
                     19,                 1.7797,                 1.7104,                 1.5341,                0.63915,                0.56777,                0.62055,                0.27113,                 1.9338,                 1.5852,                  1.706,              0.0009197,              0.0009197,              0.0009197
